date,state,dead
2019-06,Montana,819
2019-06,Nebraska,1285
2019-06,Nevada,2078
2019-06,New Hampshire,937
2019-06,New Jersey,5858
2019-06,New Mexico,1554
2019-06,New York,12208
2019-06,North Carolina,7714
2019-06,North Dakota,543
2019-06,Ohio,9796
2019-06,Oklahoma,3158
2019-06,Oregon,2990
2019-06,Pennsylvania,10465
2019-06,Rhode Island,793
2019-06,South Carolina,4094
2019-06,South Dakota,650
2019-06,Tennessee,5758
2019-06,Texas,16055
2019-06,Utah,1469
2019-06,Vermont,477
2019-06,Virginia,5698
2019-06,Washington,4582
2019-06,West Virginia,1881
2019-06,Wisconsin,4169
2019-06,Wyoming,376
2019-07,Alabama,4433
2019-07,Alaska,312
2019-07,Arizona,4928
2019-07,Arkansas,2620
2019-07,California,21273
2019-07,Colorado,3132
2019-07,Connecticut,2532
2019-07,Delaware,764
2019-07,District of Columbia,409
2019-07,Florida,17141
2019-07,Georgia,7081
2019-07,Hawaii,979
2019-07,Idaho,1076
2019-07,Illinois,8683
2019-07,Indiana,5182
2019-07,Iowa,2528
2019-07,Kansas,2247
2019-07,Kentucky,3946
2019-07,Louisiana,3652
2019-07,Maine,1189
2019-07,Maryland,4048
2019-07,Massachusetts,4701
2019-07,Michigan,8046
2019-07,Minnesota,3600
2019-07,Mississippi,2678
2019-07,Missouri,5171
2019-07,Montana,824
2019-07,Nebraska,1345
2019-07,Nevada,2070
2019-07,New Hampshire,969
2019-07,New Jersey,6033
2019-07,New Mexico,1557
2019-07,New York,12601
2019-07,North Carolina,7582
2019-07,North Dakota,494
2019-07,Ohio,9965
2019-07,Oklahoma,3281
2019-07,Oregon,2994
2019-07,Pennsylvania,10564
2019-07,Rhode Island,803
2019-07,South Carolina,4025
2019-07,South Dakota,625
2019-07,Tennessee,5729
2019-07,Texas,16476
2019-07,Utah,1518
2019-07,Vermont,449
2019-07,Virginia,5698
2019-07,Washington,4720
2019-07,West Virginia,1818
2019-07,Wisconsin,4324
2019-07,Wyoming,396
2019-08,Alabama,4402
2019-08,Alaska,351
2019-08,Arizona,4852
2019-08,Arkansas,2586
2019-08,California,21014
2019-08,Colorado,3091
2019-08,Connecticut,2548
2019-08,Delaware,797
2019-08,District of Columbia,410
2019-08,Florida,16574
2019-08,Georgia,6922
2019-08,Hawaii,905
2019-08,Idaho,1144
2019-08,Illinois,8612
2019-08,Indiana,5185
2019-08,Iowa,2437
2019-08,Kansas,2132
2019-08,Kentucky,3869
2019-08,Louisiana,3770
2019-08,Maine,1196
2019-08,Maryland,4045
2019-08,Massachusetts,4580
2019-08,Michigan,7836
2019-08,Minnesota,3745
2019-08,Mississippi,2644
2019-08,Missouri,4982
2019-08,Montana,837
2019-08,Nebraska,1355
2019-08,Nevada,2085
2019-08,New Hampshire,1040
2019-08,New Jersey,5910
2019-08,New Mexico,1559
2019-08,New York,12285
2019-08,North Carolina,7674
2019-08,North Dakota,553
2019-08,Ohio,9952
2019-08,Oklahoma,3256
